unidad	clave	descripcion
11	0	UNIDAD DE ASEGURAMIENTO DE LA CALIDAD
11	11	DIRECCION GENERAL
11	12	COORDINACION REGIONAL
11	20	DEPTO. DE PLANEACION Y SEGUIMIENTO OPERATIVO
20	22	OFNA. DE PROGRAMACION Y PRESUPUESTO
20	23	"OFNA. DE EVALUACION, INFORMACION Y SEGUIMIENTO"
11	30	DEPTO. DE SERVICIO EDUCATIVOS
30	31	"ALFABETIZACION, PRIMARIA Y SECUNDARIA"
30	34	EDUCACION COMUNITARIA Y CAP. PARA EL TRABAJO
30	35	FORMACION DE PERSONAL DOCENTE
11	40	OFNA. DE CONCERTACION Y DIFUSION
11	71	COORD. DE ZONA COMONDU 01
11	72	COORD. DE ZONA MULEGE 02
11	73	COORD. DE ZONA LA PAZ I 03
11	74	COORD. DE ZONA SAN JOSE DEL CABO 04
11	75	COORD. DE ZONA LA PAZ II 05
11	76	COORD. DE ZONA CABO SAN LUCAS 06
11	77	COORD. DE ZONA LORETO 07
11	80	DEPTO. DE SEGUIMIENTO Y ACREDITACION
85	81	OFNA. DE DESARROLLO Y MANTO. DE SISTEMAS
85	82	OFNA. DE SOPORTE TECNICO Y CAPACITACION
80	83	OFNA. DE ACREDITACION
80	84	OFNA. DE EVALUACION DEL APRENDIZAJE
11	85	UNIDAD DE INFORMATICA
11	90	DEPTO. DE ADMINISTRACION Y FINANZAS
90	91	OFNA. DE RECURSOS FINANCIEROS
90	92	OFNA. DE RECURSOS MATERIALES
90	93	OFNA. DE RECURSOS HUMANOS
